অভ্যর্থনাকারী	obhyorthonakari	ovvorthonakari	obhyarthonakari	obhyortho-nakari	obhyarthanakari
ঘূর্ণিঝড়প্রবণ	ghurnijhorprobOn	ghurnijhorprabon	ghurnijhor-probon	ghurnijharaprabon	ghurnijhorprobOn
চক্রবৃদ্ধিহারে	chokrobriddhihare	chakrabriddhihare	chokro-briddhi-hare	chakrabriddhihare	chokrobriddhihare
চিকিৎসাপদ্ধতি	chikitsapoddhoti	chikitsapaddhoti	chikitsa-poddhoti	chikitsapaddhati	chikitsapoddhoti
চিত্রবিচিত্রতা	chitrobichitrota	chitrabichitrata	chitro-bichitrota	chitrabichitrata	chitrobichitrota
চূড়ান্তসিদ্ধান্ত	churantoshiddhanto	churantasiddhanto	churanto-shiddhanto	churantasiddhanta	churantoshiddhanto
ছদ্মপরিচয়	chhodmoporichoy	chhadmaparichoy	chhodmo-porichoy	chhadmaparichaya	chhodmoporichoy
জন্মহারনিয়ন্ত্রণ	jonmoharniyontron	janmahArniyontron	jonmo-har-niyontron	janmahArniyantran	jonmoharniyontron
জ্ঞানান্বেষণ	ggyananneshon	gyananbeshon	ggyan-anbeshon	jnananweshan	ggyananneshon
জ্যামিতিশাস্ত্র	jyamitishastro	jyamitishastra	jyamiti-shastro	jyamitishastra	jyamitishastro
ঝুঁকিপূর্ণতা	jhukipurnota	jhukipurnata	jhuki-purno-ta	jhukipurnata	jhukipurnota
তত্ত্বাবধায়ক	tottabodhayok	tattwabadhayak	tottwo-bodhayok	tattwabadhayaka	tottabodhayok
তন্ত্রসাধক	tontroshadhok	tantrasadhok	tontro-shadhok	tantrasadhaka	tontroshadhok
তথ্যপ্রমাণভিত্তিক	tothopromanbhittik	tathyapramanabhittik	tottho-promAn-bhittik	tathyapramanabhittik	tothopromanbhittik
ত্রাণসামগ্রী	tranShamagri	trAnshamagri	tran-shamagri	tranasamagri	transhamagri
ত্রিকোণাকৃতি	trikonakriti	trikonakriti	trikono-akriti	trikonakriti	trikonakriti
ত্রুটিসংশোধন	trutishongshodhon	trutisanshodhon	truti-shongshodhon	trutisansodhan	trutishongshodhon
দক্ষতাবৃদ্ধি	dokkhotabriddhi	dakshatabriddhi	dokkhota-briddhi	dakshatabriddhi	dokkhotabriddhi
দন্তচিকিৎসক	donttochikitsok	dantachikitsok	dontto-chikitsok	dantachikitsaka	donttochikitsok
দায়বদ্ধতা	dayoboddhota	dayabaddhata	dayo-boddhota	dayabaddhata	dayoboddhota
দায়িত্বশীলতা	dayittoshilota	dayitwashilata	dayitto-shilota	dayitwashilata	dayittoshilota
দুর্দশাগ্রস্ত	durdoshagrosto	durdashagrasto	durdosha-grosto	durdashagrasta	durdoshagrosto
দুর্ভাবনাগ্রস্ত	durbhabonagrosto	durbhabanagrasto	durbhabona-grosto	durbhabanagrasta	durbhabonagrosto
দুর্যোগব্যবস্থাপনা	durjogbebosthapona	duryogabyabasthapana	durjog-bebosthapona	duryogabyabasthapana	durjogbebosthapona
দৃষ্টিনন্দনতা	drishtinondonota	drishtinandana	drishti-nondonota	drishtinandanata	drishtinondonota
দ্ব্যর্থবোধকতা	dwyorthobodhOkota	dvyarthabodhakata	dwyortho-bodhokota	dvyarthabodhakata	dwyorthobodhOkota
দ্বিপক্ষীয়তা	dwipokkhiYota	dwipakshiyota	dwi-pokkhiYo-ta	dwipakshiyata	dwipokkhiYota
দ্রুততমগতি	drutotomogoti	drutatamagati	drutotomo-goti	drutatamagati	drutotomogoti
ধ্বনিপ্রতিধ্বনি	dhwoniprotidhwoni	dhwanipratidhwani	dhwoni-protidhwoni	dhwanipratidhwani	dhwoniprotidhwoni
ধর্মপ্রাণব্যক্তি	dhormopranbekti	dharmapranabyakti	dhormo-pran-bekti	dharmapranabyakti	dhormopranbekti
ধার্যযোগ্যতা	dharjojoggotA	dharyayoggyata	dharjo-joggotA	dharyayoggyata	dharjojoggotA
নক্ষত্রখচিত	nokkhotrokhochit	nakshatrakhachit	nokkhotro-khochit	nakshatrakhachita	nokkhotrokhochit
নিয়ন্ত্রণব্যবস্থা	niyontronbebostha	niyantranabyabastha	niyontron-bebostha	niyantranabyabastha	niyontronbebostha
নিরীক্ষণযোগ্য	nirikshonjoggo	nirikshanayogya	nirikshon-joggo	nirikshanayogya	nirikshonjoggo
নির্দয়নিষ্ঠুর	nirdoYonishthur	nirdayanisthur	nirdoyo-nishthur	nirdayanisthura	nirdoYonishthur
নির্বিঘ্নে	nirbighne	nirbighno	nir-bighne	nirvighne	nirbighne
নির্ভরযোগ্যতা	nirvorjoggotA	nirbharayoggyata	nirvor-joggotA	nirbharayoggyata	nirvorjoggotA
নিষ্প্রয়োজনীয়	nishproyojoniyo	nishprayojaniyo	nishproyojonio	nish-proyojoniyo	nishprayojaniya
নৃত্যনৈপুণ্য	nrityonoipunno	nrityanaipunyo	nrityo-noipunno	nrityanaipunyo	nrityonoipunno
ন্যায্যতানির্ভর	nyajjyotanirvor	nyayyyatAnirbhar	nyajjota-nirvor	nyayyyatAnirbhar	nyajjyotanirvor
পক্ষসমর্থনকারী	pokkhoshomorthonkari	pakshasamarthanakari	pokkho-shomorthon-kari	pakshasamarthanakari	pokkhoshomorthonkari
পদ্ধতিনির্ভর	poddhotinirvor	paddhatinirbhar	poddhoti-nirvor	paddhatinirbhar	poddhotinirvor
পরিণতবয়স্ক	porinotoboyoshko	parinatabayaska	porinoto-boyoshko	parinatabayaska	porinotoboyoshko
পরিচ্ছন্নতাকর্মী	poricchonnatakormi	parichchhannatakarmi	poricchonnota-kormi	parichchhannatakarmi	poricchonnatakormi
পরিপূরকব্যবস্থা	poripurokebostha	paripurakabyabastha	poripuroko-bebostha	paripurakabyabastha	poripurokebostha
পর্যায়সারণি	porjaysharoni	paryaysarani	porjay-sharoni	paryaysarani	porjaysharoni
পর্যাপ্তপরিমাণ	porjaptoporiman	paryaptapariman	porjapto-poriman	paryaptapariman	porjaptoporiman
পর্যুদস্তঅবস্থা	porjudostoobostha	paryudastabastha	porjudosto-obostha	paryudastabastha	porjudostoobostha
পুনর্গঠনপ্রক্রিয়া	punorgothonprokriya	punargathanaprakriya	punor-gothon-prokriya	punargathanaprakriya	punorgothonprokriya
পুস্তকবিষয়ক	pustokbishoyok	pustakabishayak	pustok-bishoyok	pustakabishayaka	pustokbishoyok
পূর্বনির্ধারিতভাবে	purbonirdharitovabe	purbanirdharitabhabe	purbo-nirdharito-vabe	purbanirdharitabhabe	purbonirdharitovabe
প্রকৃতপক্ষেই	prokritopokkhei	prakritapakshei	prokrito-pokkhei	prakritapakshei	prokritopokkhei
প্রতিযোগিতামূলক	protijogitamulok	pratidwogitamulak	protijogita-mulok	pratijogitamulaka	protijogitamulok
প্রতিফলনযোগ্য	protifolonjoggo	pratiphalanayogya	protifolon-joggo	pratiphalanayogya	protifolonjoggo
প্রতিবিম্বিত	protibimbitO	pratibimbita	proti-bimbito	pratibimbita	protibimbitO
প্রত্যক্ষীকরণ	prottokkhikoron	pratyakshikaran	prottokkhi-koron	pratyakshikaran	prottokkhikoron
প্রত্যুত্তরদাতা	prottyuttordata	pratyuttaradata	prottyuttor-data	pratyuttaradata	prottyuttordata
প্রদাহনাশক	prodahnakshok	pradahanshak	prodoho-nashok	pradahanshaka	prodahnakshok
প্রবাহনিয়ন্ত্রণ	probahniyontron	prabahaniyantran	proboho-niyontron	prabahaniyantran	probahniyontron
প্রবেশসংকেত	probeshshongket	prabeshsanket	probesh-shongket	prabeshsanketa	probeshshongket
প্রমাণীকরণ	promanikoron	pramanikaran	promANi-koron	pramanikaran	promanikoron
প্রশিক্ষণার্থী	proshikkhOnarthi	prashikshanarthi	proshikkhon-arthi	prashikshanarthi	proshikkhonarthi
প্রশ্নোত্তরপর্ব	proshnottorporbo	prashnottaraparba	proshnottor-porbo	prashnottaraparba	proshnottorporbo
প্রশাসনতন্ত্র	proshashontrontro	prashasanatantra	proshashon-trontro	prashasanatantra	proshashontrontro
প্রসারণযোগ্যতা	prosharonjoggotA	prasaranayoggyata	prosharon-joggotA	prasaranayoggyata	prosharonjoggotA
প্রস্তাবনাসমূহ	prostabonashomuho	prastabanasamuha	prostabona-shomuho	prastabanasamuha	prostabonashomuho
প্রাকৃতিকদুর্যোগ	prakritikdurjog	prakritikaduryog	prakritik-durjog	prakritikaduryog	prakritikdurjog
প্রাণঘাতীসংক্রমণ	pranghatishongkromon	pranghatisankraman	prano-ghati-shongkromon	pranghatisankraman	pranghatishongkromon
প্রাসঙ্গিকতাভিত্তিক	proshonggikotabhittik	prasanggikatabhittik	proshonggikota-bhittik	prasanggikatabhittik	proshonggikotabhittik
বক্তৃতাপ্রদান	boktritaprodan	baktritapradan	boktrita-prodan	baktritapradan	boktritaprodan
বক্ষব্যথাজনিত	bokkhobethajonito	bakshabyathajanita	bokkho-betha-jonito	bakshabyathajanita	bokkhobethajonito
বহির্মুখীতাবাদ	bohirrmukhitabAd	bahirmukhitabAd	bohir-mukhita-bad	bahirmukhitabad	bohirmukhitabAd
বিচক্ষণতাপূর্ণ	bichokkhonotapurno	bichakshanatapurna	bichokkhonota-purno	bichakshanatapurna	bichokkhonotapurno
বিজ্ঞাপনপ্রযুক্তি	biggaponprojukti	bigyapanaprajukti	biggapon-projukti	bigyapanaprajukti	biggaponprojukti
বিদ্যুৎবিভ্রাট	bidyutbibhraat	bidyutbivrat	bidyut-bibhrat	vidyutvibhrat	bidyutbibhraat
বিনিময়যোগ্য	binimoyjoggo	binimayayogya	binimoy-joggo	binimayayogya	binimoyjoggo
বিভ্রান্তিজনক	bibhrantijonok	bibhrantijanak	bibhranti-jonok	vibhrantijanaka	bibhrantijonok
বিরূপপ্রতিক্রিয়া	birupprotikriya	birupapratikriya	birup-protikriya	virupapratikriya	birupprotikriya
বিশেষজ্ঞমণ্ডলী	bisheshoggomondoli	bisheshagyamandali	bisheshoggo-mondoli	bisheshagyamandali	bisheshoggomondoli
বিষয়ভিত্তিকভাবে	bishoybhittikovabe	bishayabhittikabhabe	bishoy-bhittiko-vabe	bishayabhittikabhabe	bishoybhittikovabe
বিস্ময়করভাবে	bismoykorvabe	bismayakarabhabe	bismoyo-koro-vabe	bismayakarabhabe	bismoykorvabe
বৃহৎপরিসরে	brihotporishore	brihatparisare	brihoto-porishore	brihatparisare	brihotporishore
ব্যবস্থাপনাগতভাবে	bebosthaponagotovabe	byabasthapanagatabhabe	bebosthapona-goto-vabe	byabasthapanagatabhabe	bebosthaponagotovabe
ব্যর্থতাপ্রবণ	berthotaprobOn	byarthatapraban	berthota-probon	byarthatapraban	berthotaprobOn
ব্যাকরণগতভাবে	byakorongotovabe	byakaranagatabhabe	byakoron-goto-vabe	byakaranagatabhabe	byakorongotovabe
ভঙ্গুরতাপূর্ণ	bhonggurotapurno	bhanguratapurna	bhonggurota-purno	bhanguratapurna	bhonggurotapurno
ভবিষ্যদ্বাণী	bhobishshoddbani	bhavishyadbani	bhobishshot-dbani	bhavishyadbani	bhobishshoddbani
ভ্রাম্যমাণচিকিৎসা	bhramymanachikitsa	bhramyamanachikitsa	bhramymano-chikitsa	bhramyamanachikitsa	bhramymanachikitsa
মতানৈক্যপূর্ণ	motonoikkopurno	matanaikyapurna	motonoikko-purno	matanaikyapurna	motonoikkopurno
মন্ত্রিসভাসদস্য	montrishobashodoshsho	mantrisabhasadasya	montri-shobha-shodoshsho	mantrisabhasadasya	montrishobashodoshsho
মনোবিজ্ঞানভিত্তিক	monobigganbhittik	manobigyanabhittik	mono-biggan-bhittik	manobigyanabhittik	monobigganbhittik
মহাকাশযান	mohakashjan	mahakashayan	moha-kash-jan	mahakashayan	mohakashjan
মাধ্যমিকশিক্ষার্থী	maddhomikshikkharthi	madhyamikashiksharthi	maddhomik-shikkharthi	madhyamikashiksharthi	maddhomikshikkharthi
মুদ্রণপ্রযুক্তি	mudronprojukti	mudranaprajukti	mudron-projukti	mudranaprajukti	mudronprojukti
মৌলিকত্বনির্ণয়	moulikottonirnoy	maulikatwanirnoy	moulikotto-nirnoy	maulikatwanirnaya	moulikottonirnoy
যন্ত্রনির্ভরতা	jontronirvorta	yantranirbharata	jontro-nirvorota	yantranirbharata	jontronirvorta
যুগান্তকারী	jugantokari	yugantakari	juganto-kari	yugantakari	jugantokari
রক্তসঞ্চালনব্যবস্থা	roktoshonchalonbebostha	raktasanchalanabyabastha	rokto-shonchalon-bebostha	raktasanchalanabyabastha	roktoshonchalonbebostha
রাষ্ট্রব্যবস্থাপনা	rashtrbebosthapona	rashtrabyabasthapana	rashtra-bebosthapona	rashtrabyabasthapana	rashtrbebosthapona
রূপান্তরশীলতা	rupantorshilota	rupantarashilata	rupan-tor-shilota	rupantarashilata	rupantorshilota
লক্ষ্যনির্দেশনা	lokkhonirdeshona	lakshyanirdeshana	lokkho-nirdeshona	lakshyanirdeshana	lokkhonirdeshona
লব্ধজ্ঞানভিত্তিক	lobdhoggyanbhittik	labdhajnyanabhittik	lobdho-ggyan-bhittik	labdhajnyanabhittik	lobdhoggyanbhittik
লৌকিকতাবর্জিত	loukikotaborjito	laukikatabarjita	loukikota-borjito	laukikatabarjita	loukikotaborjito
শব্দপ্রক্রিয়াকরণ	shobdoprokriyakoron	shabdoprakriyakarana	shobdo-prokriya-koron	shabdoprakriyakarana	shobdoprokriyakoron
শস্যউৎপাদন	shosshoutpadon	shasyautpadan	shossho-utpadon	shasyautpadana	shosshoutpadon
শিক্ষাক্রমভিত্তিক	shikkhakrombhittik	shikshakramabhittik	shikkha-krom-bhittik	shikshakramabhittik	shikkhakrombhittik
শৃঙ্খলানিয়ন্ত্রণ	shrinkholaniyontron	shrinkhalaniyantran	shrinkhola-niyontron	shrinkhalaniyantran	shrinkholaniyontron
শ্রুতিলিখনযোগ্য	shrutilikhonjoggo	shrutilikhanayogya	shruti-likhon-joggo	shrutilikhanayogya	shrutilikhonjoggo
ষোড়শদলীয়	shoroshodoliyo	shodashadaliya	shorosho-doliyo	shodashadaliya	shoroshodoliyo
সংক্ষিপ্তকরণ	shongkkhiptokoron	sankshiptakaran	shongkkhipto-koron	sankshiptakaran	shongkkhiptokoron
সংক্রমণপ্রতিরোধ	shongkromonprotirodh	sankramanapratirodh	shongkromon-protirodh	sankramanapratirodha	shongkromonprotirodh
সংখ্যাগরিষ্ঠতা	shongkhyagorishthota	sankhyagarishthata	shongkhya-gorishthota	sankhyagarishthata	shongkhyagorishthota
সংবেদনশীলতা	shongbedonshilota	sangbedanashilata	shongbedon-shilota	sangbedanashilata	shongbedonshilota
সংশয়প্রবণতা	shongshoyprobOnota	sanshayaprabonata	shongshoy-probonota	sanshayaprabonata	shongshoyprobOnota
সম্প্রচারপ্রযুক্তি	shomprocharprojukti	sampracharaprajukti	shomprochar-projukti	sampracharaprajukti	shomprocharprojukti
সম্পূরকপরীক্ষা	shompurokoporikkha	sampurakapariksha	shompuroko-porikkha	sampurakapariksha	shompurokoporikkha
সম্মানসূচকভাবে	shommanosuchokvabe	sammanasuchakabhabe	shommano-suchoko-vabe	sammanasuchakabhabe	shommanosuchokvabe
সম্ভাবনামূলক	shombhabonamulok	sambhabanamulaka	shombhabona-mulok	sambhabanamulaka	shombhabonamulok
সম্বন্ধনির্ণায়ক	shombondhonirnayok	sambandhanirnayak	shombondho-nirnayok	sambandhanirnayaka	shombondhonirnayok
সর্বক্ষেত্রব্যাপী	shorbokkhetrobYapi	sarbakshetrabyapi	shorbo-kkhetro-byapi	sarbakshetrabyapi	shorbokkhetrobYapi
সাংবিধানিকতা	shangbidhanikota	sangbidhanikata	shangbidhaniko-ta	sangbidhanikata	shangbidhanikota
সাধ্যসীমাবদ্ধতা	shaddhoshimaboddhota	sadhyasimabaddhata	shaddho-shima-boddhota	sadhyasimabaddhata	shaddhoshimaboddhota
সামঞ্জস্যবিধান	shamonjoshshobidhan	samanjasyabidhan	shamonjoshsho-bidhan	samanjasyabidhan	shamonjoshshobidhan
স্মরণশক্তিবর্ধক	smoronshoktibordhok	smaranashaktivardhak	smoron-shokti-bordhok	smaranashaktivardhaka	smoronshoktibordhok
স্বতন্ত্রতাবাদী	swotontrotabadi	swatantratabadi	swotontro-ta-badi	swatantratabadi	swotontrotabadi
স্বল্পব্যয়বহুল	sholpobboybohul	swalpabyayabahul	sholpo-bboy-bohul	swalpabyayabahul	sholpobboybohul
স্বাস্থ্যপরীক্ষাকেন্দ্র	shasthyoporikkhakendro	swasthyaparikshakendra	shasthyo-porikkha-kendro	swasthyaparikshakendra	shasthyoporikkhakendro
হস্তলিখিতপ্রতিলিপি	hostolikhitoprotolipi	hastalikhitapratilipi	hosto-likhito-protolipi	hastalikhitapratilipi	hostolikhitoprotolipi
হৃদয়বিদারকতা	hridoybidarokota	hridayabidarakata	hridoy-bidaroko-ta	hridayabidarakata	hridoybidarokota
হ্রাসযোগ্যতা	hrashjoggotA	hrasayoggyata	hrash-joggotA	hrasayoggyata	hrashjoggotA
প্রযুক্তিবিষয়ক	projuktibishoyok	prajuktibishayak	projukti-bishoyok	prajuktibishayaka	projuktibishoyok
প্রণয়নপ্রক্রিয়া	pronoyonprokriya	pranayanaprakriya	pronoyon-prokriya	pranayanaprakriya	pronoyonprokriya
প্রণোদনামূলক	pronodonamulok	pranonadanamulaka	pronodona-mulok	pranonadanamulaka	pronodonamulok
প্রতিবন্ধকতামূলক	protibondhokotamulok	pratibandhakatamulaka	protibondhokota-mulok	pratibandhakatamulaka	protibondhokotamulok
প্রতিবেশব্যবস্থা	protibeshbebostha	pratibeshabyabastha	protibesh-bebostha	pratibeshabyabastha	protibeshbebostha
প্রতিশ্রুতিবদ্ধ	protishrutiboddho	pratishrutibaddha	protishruti-boddho	pratishrutibaddha	protishrutiboddho
প্রতিরক্ষাব্যবস্থা	protirokkhabebostha	pratirakshabyabastha	protirokkha-bebostha	pratirakshabyabastha	protirokkhabebostha
প্রতিরোধযোগ্য	protirodhjoggo	pratirodhayogya	protirodh-joggo	pratirodhayogya	protirodhjoggo
প্রতুলপরিমাণে	protulporimane	pratulaparimane	protul-porimane	pratulaparimane	protulporimane
প্রত্নতত্ত্ববিদ	protnotottobid	pratnatattwabid	protno-tottobid	pratnatattwabid	protnotottobid
প্রদর্শনপ্রযুক্তি	prodorshonprojukti	pradarshanaprajukti	prodorshon-projukti	pradarshanaprajukti	prodorshonprojukti
প্রধান্যবিস্তার	prodhannobistar	pradhanyabistar	prodhanno-bistar	pradhanyabistara	prodhannobistar
প্রভাববিস্তারকারী	probhabbistarkari	prabhabbistarakari	probhab-bistar-kari	prabhabbistarakari	probhabbistarkari
প্রবেশাধিকার	probeshadhikar	prabeshadhikar	probesh-adhikar	prabeshadhikara	probeshadhikar
প্রবীণনাগরিক	probinnagorik	prabinanaagarik	probin-nagorik	prabinanaagarik	probinnagorik
প্রবৃদ্ধিহার	probriddhihar	pravriddhihar	probriddhi-har	pravriddhihara	probriddhihar
প্রভুত্ববাদী	probhuttobadi	prabhutwabadi	probhutyo-badi	prabhutwabadi	probhuttobadi
প্রমাণসাপেক্ষ	promanshapekkho	pramanasapeksha	proman-shapekkho	pramanasapeksha	promanshapekkho
প্রয়োজনসাপেক্ষে	proyojonshapekkhe	prayojanasapekshe	proyojon-shapekkhe	prayojanasapekshe	proyojonshapekkhe
প্রযোজ্যতানির্ধারণ	projojgotanirdharon	prayogyatanirdharan	projojgota-nirdharon	prayogyatanirdharan	projojgotanirdharon
প্রশংসনীয়ভাবে	proshongshoniyovabe	prashangsaniyabhabe	proshongshoniyo-vabe	prashangsaniyabhabe	proshongshoniyovabe
প্রশাসনিকভাবে	proshashonikvabe	prashasanikabhabe	proshashoniko-vabe	prashasanikabhabe	proshashonikvabe
প্রশ্নাতীতভাবে	proshnatitovabe	prashnatitabhabe	proshno-atito-vabe	prashnatitabhabe	proshnatitovabe
প্রস্তরনির্মিত	prostornirmito	prastaranirmita	prostor-nirmito	prastaranirmita	prostornirmito
প্রাকৃতিকসম্পদ	prakritikshompod	prakritikasampad	prakritik-shompod	prakritikasampad	prakritikshompod
প্রাথমিকপর্যায়ে	prathomikoporjaye	prathamikaparyaye	prathomiko-porjaye	prathamikaparyaye	prathomikoporjaye
প্রাণবৈচিত্র্য	pranoboichitro	pranabaichitra	prano-boichitro	pranabaichitra	pranoboichitro
